model_id,pool_tier,expected_role,calls_total,calls_ok,calls_error,success_rate,valid_output_rate,parsed_valid_output_rate,strict_valid_output_rate,invalid_label_count,parse_error_count,auth_error_count,timeout_count,rate_limit_count,other_error_count,dominant_error_type,dominant_error_message,p50_latency_ms,p95_latency_ms,avg_latency_ms,requests_per_second,total_cost_usd,avg_cost_per_ok_call_usd,prompt_tokens_total,completion_tokens_total,sanity_correct_count,sanity_accuracy,decision,decision_reason
alibaba-qwen3-32b,cost_efficient,cheap_default_candidate,11,10,1,0.9091,0.9091,0.9091,0.9091,0,0,0,1,0,0,timeout,The read operation timed out,24384.153,38984.962,27265.29,0.047,0.0027295,0.00027295,4956,2710,9,0.9,needs_review,p95 latency exceeds 30000ms.
deepseek-3.2,large,quality_candidate,11,11,0,1.0,1.0,1.0,0.7273,0,0,0,0,0,0,,,2633.265,12686.258,4507.095,0.44,0.003477,0.0003160909090909091,5514,450,10,0.9091,needs_review,p95 latency is more than 3x the median successful-model p95.
