model_id,pool_tier,expected_role,calls_total,calls_ok,calls_error,success_rate,valid_output_rate,parsed_valid_output_rate,strict_valid_output_rate,invalid_label_count,parse_error_count,auth_error_count,timeout_count,rate_limit_count,other_error_count,dominant_error_type,dominant_error_message,p50_latency_ms,p95_latency_ms,avg_latency_ms,requests_per_second,total_cost_usd,avg_cost_per_ok_call_usd,prompt_tokens_total,completion_tokens_total,sanity_correct_count,sanity_accuracy,decision,decision_reason
deepseek-4-flash,cost_efficient,cheap_default_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,1760.021,6564.974,2974.821,0.647,0.00087808,7.982545454545455e-05,5514,379,9,0.8182,pass_to_pilot,Reliable calls and parsed output contract.
openai-gpt-oss-120b,balanced,balanced_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,1551.043,2202.763,1688.176,1.133,0.0013186,0.00011987272727272728,6074,1016,9,0.8182,pass_to_pilot,Reliable calls and parsed output contract.
openai-gpt-oss-20b,cost_efficient,cheap_default_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,1241.156,2057.526,1259.75,1.484,0.00085225,7.747727272727274e-05,6074,1219,9,0.8182,pass_to_pilot,Reliable calls and parsed output contract.
