model_id,result_run_id,resultset_path,pool_tier,expected_role,calls_total,calls_ok,calls_error,success_rate,valid_output_rate,parsed_valid_output_rate,strict_valid_output_rate,invalid_label_count,parse_error_count,auth_error_count,timeout_count,rate_limit_count,other_error_count,dominant_error_type,dominant_error_message,p50_latency_ms,p95_latency_ms,avg_latency_ms,requests_per_second,total_cost_usd,avg_cost_per_ok_call_usd,prompt_tokens_total,completion_tokens_total,sanity_correct_count,sanity_accuracy,sample_ok_raw_output,decision,decision_reason
anthropic-claude-haiku-4.5,smoke-v1,runs/smoke-v1/results/anthropic-claude-haiku-4.5.json,frontier_reference,reference,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,6.346,,,,,0,,,reject,Provider/model permission or support errors observed.
arcee-trinity-large-thinking,smoke-v1,runs/smoke-v1/results/arcee-trinity-large-thinking.json,large_reasoning,quality_candidate,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,6.325,,,,,0,,,reject,Provider/model permission or support errors observed.
deepseek-3.2,smoke-v1,runs/smoke-v1/results/deepseek-3.2.json,large,quality_candidate,11,11,0,1.0,1.0,1.0,0.7273,0,0,0,0,0,0,,,2633.265,12686.258,4507.095,0.44,0.003477,0.0003160909090909091,5514,450,10,0.9091,"```json
{
    ""label"": ""documentation"",
    ""rationale"": ""Issue reports mismatched filenames between docs and repository and undefined config file format""
}
```",reject,Reliability or strict output-contract rate is below 0.80.
openai-gpt-4o-mini,smoke-v1,runs/smoke-v1/results/openai-gpt-4o-mini.json,frontier_reference,reference,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,5.972,,,,,0,,,reject,Provider/model permission or support errors observed.
openai-gpt-5-mini,smoke-v1,runs/smoke-v1/results/openai-gpt-5-mini.json,frontier_reference,reference,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,5.975,,,,,0,,,reject,Provider/model permission or support errors observed.
openai-gpt-5-nano,smoke-v1,runs/smoke-v1/results/openai-gpt-5-nano.json,cost_efficient,cheap_default_candidate,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,5.983,,,,,0,,,reject,Provider/model permission or support errors observed.
