model_id,result_run_id,resultset_path,pool_tier,expected_role,calls_total,calls_ok,calls_error,success_rate,valid_output_rate,parsed_valid_output_rate,strict_valid_output_rate,invalid_label_count,parse_error_count,auth_error_count,timeout_count,rate_limit_count,other_error_count,dominant_error_type,dominant_error_message,p50_latency_ms,p95_latency_ms,avg_latency_ms,requests_per_second,total_cost_usd,avg_cost_per_ok_call_usd,prompt_tokens_total,completion_tokens_total,sanity_correct_count,sanity_accuracy,sample_ok_raw_output,decision,decision_reason
deepseek-4-flash,smoke-v1,runs/smoke-v1/results/deepseek-4-flash.json,cost_efficient,cheap_default_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,1760.021,6564.974,2974.821,0.647,0.00087808,7.982545454545455e-05,5514,379,9,0.8182,"{""label"":""documentation"",""rationale"":""The issue reports conflicting documentation about the config file name and missing specification of the file format.""}",pass_to_pilot,Reliable calls and parsed output contract.
kimi-k2.5,smoke-v1-reasoning-2048,runs/smoke-v1-reasoning-2048/results/kimi-k2.5.json,balanced,balanced_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,8514.742,14735.597,9003.226,0.111,0.0192123,0.0017465727272727273,6111,5984,11,1.0,"{""label"":""documentation"",""rationale"":""Documentation inconsistency between sources and undefined config file format""}",pass_to_pilot,Reliable calls and parsed output contract.
llama-4-maverick,smoke-v1-promptfix,runs/smoke-v1-promptfix/results/llama-4-maverick.json,balanced,balanced_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,613.894,812.087,637.992,3.087,0.00173396,0.00015763272727272728,6125,233,10,0.9091,"{""label"":""documentation"",""rationale"":""Docs mismatch and unclear config file format""}",pass_to_pilot,Reliable calls and parsed output contract.
llama3.3-70b-instruct,smoke-v1-promptfix,runs/smoke-v1-promptfix/results/llama3.3-70b-instruct.json,balanced,balanced_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,5808.988,7476.47,6062.718,0.311,0.0042679,0.00038799090909090905,6414,152,9,0.8182,"{""label"":""documentation"",""rationale"":""docs mismatch""}",pass_to_pilot,Reliable calls and parsed output contract.
mistral-3-14B,smoke-v1-promptfix,runs/smoke-v1-promptfix/results/mistral-3-14B.json,cost_efficient,cheap_default_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,598.297,847.251,637.691,2.986,0.0013498000000000002,0.00012270909090909092,6457,292,9,0.8182,"{""label"":""documentation"",""rationale"":""Mismatch in docs and actual CLI config file name/format; unclear JSON schema.""}",pass_to_pilot,Reliable calls and parsed output contract.
openai-gpt-oss-120b,smoke-v1,runs/smoke-v1/results/openai-gpt-oss-120b.json,balanced,balanced_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,1551.043,2202.763,1688.176,1.133,0.0013186,0.00011987272727272728,6074,1016,9,0.8182,"{""label"":""documentation"",""rationale"":""The issue reports inconsistencies and missing details in the docs regarding config file name and format.""}",pass_to_pilot,Reliable calls and parsed output contract.
openai-gpt-oss-20b,smoke-v1,runs/smoke-v1/results/openai-gpt-oss-20b.json,cost_efficient,cheap_default_candidate,11,11,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,,,1241.156,2057.526,1259.75,1.484,0.00085225,7.747727272727274e-05,6074,1219,9,0.8182,"{""label"":""documentation"",""rationale"":""Documentation mismatch between tutorial and repository""}",pass_to_pilot,Reliable calls and parsed output contract.
qwen3.5-397b-a17b,smoke-v1-reasoning-2048,runs/smoke-v1-reasoning-2048/results/qwen3.5-397b-a17b.json,large,quality_candidate,11,9,2,0.8182,0.8182,0.8182,0.8182,0,2,0,0,0,0,parse_error,No JSON object found in model output.,13845.681,17222.469,13145.043,0.061,0.0320429,0.0035603222222222223,6565,12439,8,0.8889,"{""label"":""documentation"",""rationale"":""Reports mismatched config file names in documentation and missing configuration format specifications.""}",pass_to_pilot_with_caution,Strict output-contract rate is below 0.90.
