model_id,display_name,provider,family,object_type,owned_by,created,modality,supported_endpoints,serverless_visible,chat_completion_supported,responses_supported,embedding_supported,image_supported,audio_supported,video_supported,context_window,max_output_tokens,input_price_per_1m,output_price_per_1m,pricing_source,pricing_captured_at,pricing_missing,cost_ready,eligibility_status,exclusion_reason,notes,fetched_at_utc
openai-gpt-5,openai-gpt-5,OpenAI,openai,model,openai,1754595084,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.1-codex-max,openai-gpt-5.1-codex-max,OpenAI,openai,model,openai,1769527931,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.2,openai-gpt-5.2,OpenAI,openai,model,openai,1769527931,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.2-pro,openai-gpt-5.2-pro,OpenAI,openai,model,openai,1770208836,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.3-codex,openai-gpt-5.3-codex,OpenAI,openai,model,openai,1772046998,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.4,openai-gpt-5.4,OpenAI,openai,model,openai,1772819368,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.4-mini,openai-gpt-5.4-mini,OpenAI,openai,model,openai,1774645563,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.4-nano,openai-gpt-5.4-nano,OpenAI,openai,model,openai,1774645564,text,chat_completions,true,true,false,false,false,false,false,400000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.4-pro,openai-gpt-5.4-pro,OpenAI,openai,model,openai,1774645563,text,chat_completions,true,true,false,false,false,false,false,1050000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-gpt-5.5,openai-gpt-5.5,OpenAI,openai,model,openai,1777317140,text,chat_completions,true,true,false,false,false,false,false,1000000,128000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-o1,openai-o1,OpenAI,openai,model,openai,1740436938,text,chat_completions,true,true,false,false,false,false,false,200000,100000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-o3,openai-o3,OpenAI,openai,model,openai,1751565087,text,chat_completions,true,true,false,false,false,false,false,200000,100000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
openai-o3-mini,openai-o3-mini,OpenAI,openai,model,openai,1740436938,text,chat_completions,true,true,false,false,false,false,false,200000,100000,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
qwen3-coder-flash,qwen3-coder-flash,DigitalOcean-hosted,qwen,model,digitalocean,1776366668,text,chat_completions,true,true,false,false,false,false,false,262144,65536,,,,,true,false,smoke_eligible_needs_pricing,,Pricing missing; allowed for smoke test but must be filled before cost/pilot/final evaluation.,2026-06-10T21:01:37.812921Z
