model_id,display_name,provider,family,object_type,owned_by,created,modality,supported_endpoints,serverless_visible,chat_completion_supported,responses_supported,embedding_supported,image_supported,audio_supported,video_supported,context_window,max_output_tokens,input_price_per_1m,output_price_per_1m,pricing_source,pricing_captured_at,pricing_missing,cost_ready,eligibility_status,exclusion_reason,notes,fetched_at_utc,suggested_review_reason
router:general,router:general,DigitalOcean-hosted,digitalocean-hosted,model,digitalocean,1775748006,text,,true,false,false,false,false,false,false,,,,,,,true,false,needs_metadata_review,,Excluded from empirical model comparison because router is not a single model and makes per-model cost/latency attribution less clean. Router model is not a single final model candidate by default.,2026-06-10T21:01:37.812921Z,router_not_single_model
router:knowledge-base-document,router:knowledge-base-document,DigitalOcean-hosted,digitalocean-hosted,model,digitalocean,1776390534,text,,true,false,false,false,false,false,false,,,,,,,true,false,needs_metadata_review,,Excluded from empirical model comparison because router is not a single model and makes per-model cost/latency attribution less clean. Router model is not a single final model candidate by default.,2026-06-10T21:01:37.812921Z,router_not_single_model
router:software-engineering,router:software-engineering,DigitalOcean-hosted,digitalocean-hosted,model,digitalocean,1775748006,text,,true,false,false,false,false,false,false,,,,,,,true,false,needs_metadata_review,,Excluded from empirical model comparison because router is not a single model and makes per-model cost/latency attribution less clean. Router model is not a single final model candidate by default.,2026-06-10T21:01:37.812921Z,router_not_single_model
router:writing,router:writing,DigitalOcean-hosted,digitalocean-hosted,model,digitalocean,1775748006,text,,true,false,false,false,false,false,false,,,,,,,true,false,needs_metadata_review,,Excluded from empirical model comparison because router is not a single model and makes per-model cost/latency attribution less clean. Router model is not a single final model candidate by default.,2026-06-10T21:01:37.812921Z,router_not_single_model
