model_id,result_run_id,resultset_path,pool_tier,expected_role,calls_total,calls_ok,calls_error,success_rate,valid_output_rate,parsed_valid_output_rate,strict_valid_output_rate,invalid_label_count,parse_error_count,auth_error_count,timeout_count,rate_limit_count,other_error_count,dominant_error_type,dominant_error_message,p50_latency_ms,p95_latency_ms,avg_latency_ms,requests_per_second,total_cost_usd,avg_cost_per_ok_call_usd,prompt_tokens_total,completion_tokens_total,sanity_correct_count,sanity_accuracy,decision,decision_reason
anthropic-claude-haiku-4.5,smoke-v1,runs/smoke-v1/results/anthropic-claude-haiku-4.5.json,frontier_reference,reference,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,6.346,,,,,0,,reject,Provider/model permission or support errors observed.
arcee-trinity-large-thinking,smoke-v1,runs/smoke-v1/results/arcee-trinity-large-thinking.json,large_reasoning,quality_candidate,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,6.325,,,,,0,,reject,Provider/model permission or support errors observed.
kimi-k2.5,smoke-v1-promptfix,runs/smoke-v1-promptfix/results/kimi-k2.5.json,balanced,balanced_candidate,11,0,11,0.0,0.0,0.0,0.0,0,11,0,0,0,0,parse_error,No JSON object found in model output.,,,,0.901,,,6111,704,0,,reject,Systematic output-contract parse failures observed.
nvidia-nemotron-3-super-120b,smoke-v1-promptfix,runs/smoke-v1-promptfix/results/nvidia-nemotron-3-super-120b.json,balanced,balanced_candidate,11,1,10,0.0909,0.0909,0.0909,0.0909,0,10,0,0,0,0,parse_error,No JSON object found in model output.,4472.048,4472.048,4472.048,0.394,0.00014654999999999998,0.00014654999999999998,6578,703,1,1.0,reject,Systematic output-contract parse failures observed.
openai-gpt-4o-mini,smoke-v1,runs/smoke-v1/results/openai-gpt-4o-mini.json,frontier_reference,reference,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,5.972,,,,,0,,reject,Provider/model permission or support errors observed.
openai-gpt-5-mini,smoke-v1,runs/smoke-v1/results/openai-gpt-5-mini.json,frontier_reference,reference,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,5.975,,,,,0,,reject,Provider/model permission or support errors observed.
openai-gpt-5-nano,smoke-v1,runs/smoke-v1/results/openai-gpt-5-nano.json,cost_efficient,cheap_default_candidate,11,0,11,0.0,0.0,0.0,0.0,0,0,11,0,0,0,auth_error,"{""error"":{""message"":""this model is not available for your subscription tier"",""type"":""forbidden_error""},""message"":""this model is not available for your subscription tier"",""status_code"":403}",,,,5.983,,,,,0,,reject,Provider/model permission or support errors observed.
qwen3.5-397b-a17b,smoke-v1-promptfix,runs/smoke-v1-promptfix/results/qwen3.5-397b-a17b.json,large,quality_candidate,11,0,11,0.0,0.0,0.0,0.0,0,11,0,0,0,0,parse_error,No JSON object found in model output.,,,,0.934,,,6565,704,0,,reject,Systematic output-contract parse failures observed.
